ID_REF	GSM1150937	GSM1150938	GSM1150939	GSM1150940	GSM1150941	GSM1150942
10826416	82.88	91.91	78.26	82.75	86.65	72.94
10826418	1260.87	1354.55	1292.01	1806.65	1601.71	1625.09
10826432	201.32	193.06	227.31	226.74	219.46	232.18
10826439	44.77	43.91	48.48	40.18	51.33	43.99
10826442	400.84	343.53	364.89	344.16	323.53	323.08
10826451	895.79	884.24	876.56	831.26	834.6	857.77
10826470	193.51	158.01	181.25	190.94	176.95	171.63
10826474	2013.93	2022.89	1973.58	2253.42	2034.28	2031.32
10826500	455.84	551.69	572.18	580.15	593.23	612.62
10826502	1961.44	1977.14	1984.01	2031.04	1958.45	2069.83
10826517	1068.23	1036.5	1016.27	985.36	924.97	987.08
10826534	85.02	87.76	87.14	103.36	77.16	85.34
10826541	651.42	511.66	541.68	369.19	380.99	412.8
10826547	415.95	442.94	403.43	469.96	441.69	439.01
10826559	472.84	425.93	406.1	291.86	365.4	358.95
10826561	318.11	241.7	238.67	228.7	243.34	242.39
10826576	147.86	146.24	161.9	140.45	153.21	145.06
10826578	34.24	38.72	47.55	35.22	41.67	34.17
10826588	75.23	67.3	71.52	69.39	74.91	71.77
10826594	58.71	52.62	55.45	54.35	58.96	54.95
10826598	20.16	17.42	16.43	17.12	14.93	14.56
10826602	423.51	443.05	406.12	394.24	406.98	426.36
10826604	1795.16	2074.29	2104.41	2251.86	2336.45	2261.71
10826607	528.34	481.32	433.53	404.66	486.44	461.84
10826616	535.05	1263.32	1113.51	2655.01	1828.7	1976.87
10826669	124.01	127.83	117.65	140.62	114.93	125.83
10826672	527.6	431.67	460.46	266.77	350.17	327.25
10826680	743.51	641.89	697.09	386.52	498.24	483.11
10826682	282.45	256.36	247.58	157.84	205.53	194.71
10826691	2365.45	2138.52	2303.8	2197.88	2155.34	2178.62
10826703	576.79	550.84	593.7	462.81	480.53	517.75
10826707	5059.92	5202.54	4970.59	4323.25	4522.17	4689.77
10826709	14.13	12.89	12.51	14.17	14.12	12.82
10826717	615.41	715.94	686.03	554.46	622.53	626.71
10826721	117.57	143.95	135.68	134.91	139.75	138.24
10826723	1711.8	1752.02	1529.03	678.27	955.84	1071.79
10826725	1187.82	1188.64	981.16	818.54	936.72	887.7
10826750	248.09	271.84	266.66	235.22	248.76	269.17
10826764	123.26	413.71	373.33	623.88	572.35	390.06
10826771	221.08	227.04	222.52	214.58	219.04	218.53
10826779	190.57	162.15	171.16	154.82	203.57	175.46
10826784	1458.73	1342.21	1472.86	1324.1	1355.12	1290.67
10826812	14.87	10.72	8.4	8.41	12.24	9.7
10826814	1819.59	1785.86	1589.22	1203.9	1525.54	1544.37
10826818	1681.34	1647.77	1683.09	1335.72	1494.04	1547.05
10826824	2902.94	3011.36	2917.67	2509.7	2582.94	2634.84
10826826	19.22	15.6	21.03	15.92	15.25	14.49
10826828	2031.32	1830.73	1988.96	1726.34	1672.86	1756.88
10826837	653.15	618.89	609.58	536.41	524.71	547.88
10826846	699.04	636.32	743.62	620.81	712.95	720.38
10826855	130.58	134.91	131.18	142.49	131.69	132.23
10826859	2051.27	1918.82	1954.25	1839.12	1864.41	1882.46
10826866	880.92	796.75	975.6	852.59	906.15	999.19
10826870	408.18	414.11	444.86	361.62	403.3	426.26
