"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Hbs1l_72436",367.647720399329,-1.14652297909814,0.136149485507641,-8.42105994615596,3.730932945982e-17,5.73481703126893e-13
"Cetn3_30290",2350.31984033212,-0.719760416902037,0.0937927624248963,-7.67394411139536,1.66786774033323e-14,1.2818397518331e-10
"Grasp_56900",277.439364214642,0.975927410483323,0.141772979495402,6.88373351506644,5.83038981829097e-12,2.98729739656502e-08
"Pcsk7_57804",180.240399454777,0.826194072830564,0.135298248498561,6.10646539773463,1.01861706878671e-09,3.85184342680122e-06
"Plscr4_55764",178.952156239297,1.3193654139939,0.217515356822513,6.06561961080511,1.31445901896005e-09,3.85184342680122e-06
"Socs3_79479",183.282928939085,1.25355325526783,0.207405144190453,6.04398343233343,1.50354957782885e-09,3.85184342680122e-06
"Kat2b_64780",444.976034438458,-0.719710451744268,0.120346330256455,-5.98032736196096,2.22689627468664e-09,4.12745126538496e-06
"Ptp4a2_62762",1840.75246707104,-0.780285678993796,0.13076704341125,-5.9669902954055,2.41669776777468e-09,4.12745126538496e-06
"Rmi1_56327",377.579360920672,-0.854890309971483,0.142884434590901,-5.98308914766791,2.18944854143021e-09,4.12745126538496e-06
"Abcd2_62271",57.464554050084,-1.25044594188626,0.214645009049267,-5.8256464821842,5.6891932690163e-09,8.74485897380496e-06
"Meis1_76344",1455.72591429842,-1.27035669600576,0.219375347262962,-5.79079058725321,7.00558794563161e-09,9.78935384657305e-06
"Slc34a2_74194",2870.05187588452,0.690143274730709,0.121957318931916,5.6588918219495,1.52353545812135e-08,1.95152196056527e-05
"Tmem109_70229",351.492671116317,0.868962544917089,0.154290639976761,5.6319848374987,1.78147349021087e-08,2.10638684754087e-05
"Rpl30_68752",4574.33183855085,-0.542024263885167,0.0973914124791715,-5.56542153037453,2.61519448080985e-08,2.87129674032344e-05
"Rps14_70882",389.510363034245,-0.779337870054464,0.141559362937288,-5.50537847785961,3.68375994897097e-08,3.77487161170885e-05
"Nck1_29117",240.130598048786,-0.818011459900734,0.148936091695498,-5.49236555483925,3.96585438319697e-08,3.80994673275754e-05
"Rb1cc1_65517",210.924615803287,-0.949830867645461,0.174188869313937,-5.45287923038067,4.95607298377764e-08,4.48116457844977e-05
"Abca5_72705",252.583004579413,-0.994342305515381,0.183641554891552,-5.41458226109325,6.14319563480086e-08,5.24594778347356e-05
"Ifih1_66340",771.869305568457,-0.883916830418672,0.166299912062392,-5.31519722083223,1.06541868910621e-07,8.45536899630665e-05
"Selenok_75921",730.170710357966,-0.614048387790605,0.115654165004172,-5.30934954023015,1.10017162140481e-07,8.45536899630665e-05
"Ubxn4_62275",801.485273037291,-0.952843710079307,0.180633481466214,-5.27501159998142,1.32747690587404e-07,9.716498819138e-05
"Nbeal1_63407",1213.47524704892,-0.830462187418552,0.158073397148399,-5.25364926926266,1.49114717267525e-07,0.000104183741778142
"Grrp1_59421",83.8677115228164,1.55317048135133,0.298688259559518,5.19997164817198,1.99318927610058e-07,0.000133205705925835
"Sgsm3_73621",53.9864706000986,1.21929203598241,0.235018972146131,5.18805790378605,2.12498535932269e-07,0.000136096458158955
"Med8_74988",160.443938205298,0.729606983913466,0.141784786637562,5.14587637514685,2.66274744237488e-07,0.000157419580525939
"Mff_64404",404.656802323366,-0.884814092730656,0.171852210664558,-5.14869194471839,2.6230927144112e-07,0.000157419580525939
"Zfp758_70179",161.103903478225,-1.08532097792847,0.211273748135038,-5.13703660539392,2.79104606276452e-07,0.00015889321863242
"Vbp1_31850",1591.01423536532,-0.602467223420602,0.118210505645183,-5.096562442842,3.45876511234303e-07,0.000189873851935088
"Cnn1_74046",681.186279299256,1.15791708740504,0.228108060032285,5.07617787482457,3.8510280264911e-07,0.000201621502926737
"Rabl6_73963",199.229657341755,-0.629043638054567,0.124021071240626,-5.07207067123374,3.93510187222829e-07,0.000201621502926737
"Nde1_77231",47.5498268669123,1.62155960392564,0.320917394535679,5.0528878506938,4.35179450732617e-07,0.000215778817329389
"Mkrn1_77195",1276.93214946163,-0.651550259185327,0.129367918633579,-5.03641293813169,4.74336703191598e-07,0.00022094028681085
"Nae1_80066",622.04565076632,-0.463853863365285,0.0920996856161345,-5.03643264645438,4.74287890861228e-07,0.00022094028681085
"Cul3_69689",1057.580666126,-0.762210855478849,0.151611067341174,-5.02740907274023,4.97151085597058e-07,0.000224756156962129
"Smarca5_70752",588.859027174468,-0.696773866195933,0.140667513095656,-4.95333891146649,7.29507533104503e-07,0.000320378865467123
"Slc25a46_30683",657.76116514534,-0.423171066274435,0.0856844994504325,-4.93871200728942,7.86402507708056e-07,0.000335772026277237
"Rab9_68516",767.071452306908,-0.469828320850188,0.0955893744887726,-4.91506847244169,8.8751434812799e-07,0.000368702244461495
"Cdk19_29897",369.891019519292,-0.514474616228641,0.10480543171663,-4.90885451070573,9.16099065580635e-07,0.000370562072027367
"Nbeal1_69997",1038.05864497207,-0.609583158834314,0.124325303135089,-4.90313028371992,9.43213806237777e-07,0.000371747164504638
"Zfp81_81994",118.962519828768,-0.841191630563978,0.171795955103838,-4.89645771959847,9.75796310666931e-07,0.000374974127281535
"Marcks_57558",1251.17947942314,0.745152404515908,0.153105820853275,4.86691100549342,1.13356042059661e-06,0.000424974566463184
"Zfp60_76673",222.148414223889,-0.728713746003264,0.150257150609171,-4.84977748512414,1.23600050235099e-06,0.000452346755277073
"Atp6ap1_31301",595.11966103722,-0.611376656151445,0.126882648803608,-4.81844177999271,1.44683730545324e-06,0.000493289014431101
"Cmah_76900",22.3926122593389,-1.52670196859886,0.316852180830335,-4.81834136220248,1.44756553035652e-06,0.000493289014431101
"Mboat2_79973",303.269082349118,-0.977326149089497,0.203327275838688,-4.80666523986122,1.53468644713987e-06,0.000493289014431101
"Ppp1cb_68294",727.888289963319,-0.667363515074635,0.138729969702338,-4.81052159462404,1.5053693764856e-06,0.000493289014431101
"Tipin_30930",302.5740271856,-0.573303004391318,0.119291032894554,-4.8059186887759,1.54042500115105e-06,0.000493289014431101
"Trdmt1_72939",42.1593404625267,-1.74790916364047,0.363589642612708,-4.80736786416749,1.52930432552088e-06,0.000493289014431101
"Psip1_67341",235.804313547856,-0.86455918486996,0.180196172254314,-4.79787763554596,1.60355687189161e-06,0.000503025973017264
"Clip1_61747",531.103565236032,-0.553771374913989,0.115755855432351,-4.78395993745316,1.71874955626549e-06,0.000517808175827582
"Gtf2b_66529",710.709792558787,-0.576552503248425,0.120454885193807,-4.78646011177359,1.69748656894821e-06,0.000517808175827582
"Psma1_73656",766.458107187533,-0.543165798234522,0.113712219871831,-4.77667043037894,1.78221508366066e-06,0.000517808175827582
"Ptprc_67392",607.961348957983,-0.805815462672629,0.168710953115204,-4.77630792662512,1.78542927063053e-06,0.000517808175827582
"Capns1_74461",2059.18820219628,-0.482242332152834,0.101508327238281,-4.75076622059603,2.02647307051379e-06,0.000576831806793843
"Nkain4_82157",26.8983014623488,-1.96604748937871,0.417971608800876,-4.70378238134196,2.55385458640797e-06,0.000713732706321399
"Ppp4r3b_68394",234.353680112262,-0.73131380285658,0.155970382400042,-4.68879919125198,2.7481289649879e-06,0.00075431232715766
"Cybb_70989",100.926741335721,-1.26232952024101,0.271888611146187,-4.64281867092365,3.43687963581117e-06,0.000926811875123745
"App_29787",591.635567381249,-0.657176929896316,0.141762980030849,-4.63574432304758,3.5565535739996e-06,0.000942548016999102
"Acp6_66287",299.185289434961,0.623771960993666,0.13489524699172,4.62412112290327,3.76190008373587e-06,0.000980070613340748
"Arhgap29_79542",753.662962256568,-0.528041643868374,0.114423200509218,-4.61481274355576,3.93449895869788e-06,0.00100795305823575
"Nr4a1_74357",48.3409162582138,1.6578557046949,0.359644112011269,4.6097117937606,4.03227566027646e-06,0.00101606736350999
"Dpp8_61774",826.360239834201,-0.55860524312373,0.121371462975843,-4.60244302431216,4.17563812953631e-06,0.00103522151111456
"F8a_54756",257.430794670054,-0.579164600332245,0.126296339970291,-4.5857591793118,4.52339750674687e-06,0.00108286318646804
"Gpatch4_77770",243.703020453862,0.794325939763781,0.173680442265819,4.57349100106538,4.79664289440914e-06,0.00108286318646804
"Neurl4_79070",202.998573686435,0.657777310498391,0.143520355834701,4.58316387715749,4.57992821606112e-06,0.00108286318646804
"Rasa1_29997",610.417625887883,-0.456998740852109,0.0999843773703417,-4.57070147228489,4.86094332615279e-06,0.00108286318646804
"Samd4_57742",173.945210009303,-0.750862274261584,0.163810209803602,-4.58373306011768,4.56747266747199e-06,0.00108286318646804
"Setd3_70602",312.516641494113,-0.512168313641703,0.111952166933071,-4.57488521814764,4.76481142468835e-06,0.00108286318646804
"Topbp1_31204",181.640572418956,-0.542607233773285,0.11867807116318,-4.57209346642657,4.8287544557322e-06,0.00108286318646804
"Rab6a_68205",516.855509442673,-0.643512010413532,0.140970899681909,-4.56485708657298,4.99834728565769e-06,0.0010868519246029
"Zfp820_56096",31.971552020498,-1.29758863187292,0.284313309536669,-4.56393910642994,5.02026456618343e-06,0.0010868519246029
"Ube2j1_31410",277.638008876396,-0.531628978296449,0.116755232730806,-4.55336318434811,5.27950117059999e-06,0.00112710017351795
"9530068E07Rik_54935",1850.02718908371,-0.748077650065348,0.164580058620388,-4.54537236367638,5.48382201071591e-06,0.00115468257707828
"Nectin3_67905",676.284634371596,-0.57853708524658,0.12737515532079,-4.54199316805193,5.57248474899893e-06,0.00115749544698463
"Rps23_70195",7465.01918252504,-0.879204759268888,0.193933565109886,-4.53353579495492,5.80044310526961e-06,0.00118878147961466
"Pias4_79127",109.381198149929,0.824175901360332,0.182245529614353,4.52233809577858,6.11602648596276e-06,0.00123696635678597
"Gm10717_63332",32.9835823795328,5.06156608636577,1.12295294905407,4.50737147146676,6.56356649107922e-06,0.00131024130564128
"Nckap5_71349",3726.96503401983,0.741727632792494,0.164840136645676,4.49967858487546,6.8056285157383e-06,0.00134114507583863
"Smpdl3a_70278",289.112012026952,-0.73417519584853,0.16399701473912,-4.47675951307059,7.57845336778761e-06,0.00145610508395329
"Zfp949_73420",163.092108003824,-1.28174076261665,0.286205751629484,-4.47838925430108,7.52083701784374e-06,0.00145610508395329
"Gimap6_32097",371.410784095027,-0.799617324234696,0.17947424253988,-4.45533193464804,8.37634932994441e-06,0.0015895415500071
"Zfp992_80059",201.379091212217,-1.00794116118583,0.226582193565607,-4.44845707124809,8.64893302586163e-06,0.00162125304317706
"Rac1_30873",539.311311923815,0.665712013970368,0.150139895789207,4.43394482506509,9.2524314528651e-06,0.00171348342002397
"C1galt1c1_55227",543.097414798334,-0.779739244523682,0.176124393824771,-4.4272075411624,9.54608734428044e-06,0.0017262695125757
"Dpm1_30630",3329.37053258752,-0.597473119199175,0.134932689477722,-4.42793456138605,9.51397546848831e-06,0.0017262695125757
"Hbb-bt_30253",1062.56753846341,-1.54400770631474,0.349179418532489,-4.42181762259587,9.78740549109236e-06,0.00174932802097187
"Uqcrc2_72440",1040.05113641108,-0.680277972433865,0.154052877585076,-4.41587319300919,1.00603050169084e-05,0.001777436188677
"Ercc5_73312",144.549120770706,-0.782894593151612,0.177557756357703,-4.40923905106354,1.03734469815642e-05,0.00181193469947298
"Rad1_77614",37.1061125778283,-1.24048106183452,0.281887426293261,-4.40062573257167,1.07939161150519e-05,0.0018641942090389
"Ero1l_29075",499.187871465239,-0.639220316284379,0.145452784661679,-4.39469287419417,1.10929475030275e-05,0.00189455217854485
"Zfp618_69659",125.09536329862,0.922152930636771,0.210161538038789,4.38782918721584,1.14487632852786e-05,0.00193383451052766
"Tmem106b_74015",830.542220430775,-0.643055508147289,0.146777155680936,-4.38116888942285,1.18044325179021e-05,0.0019722383938334
"Omd_75393",182.432335563531,-1.13956680151436,0.260251816715742,-4.37870834446104,1.19384775096511e-05,0.00197318642796609
"Nadk_74310",789.359909153748,-0.492130126124584,0.112458356821033,-4.37610987779027,1.20816128445777e-05,0.00197560075568088
"Ablim3_81978",143.476878915828,-0.785742434196657,0.179672615808389,-4.37318970763252,1.22444233747428e-05,0.00198114770203338
"Actr6_74026",69.2160038670506,-0.917796705538039,0.210060080942292,-4.36921047264652,1.24696541679553e-05,0.00199657348141293
"Anp32b_67136",1204.28996147483,-0.632028751469974,0.144804865162666,-4.36469279371234,1.27301533289994e-05,0.00201726996721701
"Mbnl1_30670",851.18586206602,-0.722073125725189,0.165901457659039,-4.35242182868094,1.3464188616778e-05,0.00206958043228494
"Pigq_71960",294.323835182083,0.656681666375035,0.150728383044156,4.35672202615389,1.3202476357019e-05,0.00206958043228494
"Tlr3_30089",94.0914756827521,-0.865140104655752,0.198684880467775,-4.35433286427687,1.33472767858889e-05,0.00206958043228494
"Mplkip_69801",397.994933710506,-0.587740158938769,0.135165092512403,-4.3483132221053,1.37188581989715e-05,0.00208784722154843
"Lamp1_67377",7792.12894506583,-0.848108901895122,0.195817170820734,-4.33112631716831,1.4834854239213e-05,0.00223555435795043
"P2ry10b_63457",49.5851371196879,-1.21090500692152,0.279773904101612,-4.32815566130043,1.50363186898072e-05,0.00224391509301968
"B4galt4_78044",86.8218367138081,-0.84705316352519,0.196099519947964,-4.31950656355488,1.56378458117058e-05,0.00231124353818971
